change_month,nonbundle_addons,account_code
7/1/21,showtime,3728
7/1/21,showtime-preview,28
7/1/21,sports-lite,68
7/1/21,starz,1927
7/1/21,starz-epix-showtime,4936
7/1/21,third-screen,10597
7/1/21,tv5-monde,554
7/1/21,unlimited-screen-home,12394
8/1/21,advanced-dvr,7552
8/1/21,advanced-dvr-1000,5185
8/1/21,advanced-dvr-250,50633
8/1/21,adventure,7309
8/1/21,amc-premiere,2657
8/1/21,cycling,14
8/1/21,deportes,37733
8/1/21,entertainment,1136
8/1/21,entertainment-preview,114
8/1/21,entertainment-v2,748
8/1/21,epix,1122
8/1/21,extra,394
8/1/21,fubo-extra-lite,24447
8/1/21,fubo-extra-lite-preview,513
8/1/21,intl-sports-plus,14573
8/1/21,latino,1946
8/1/21,mundo,132
8/1/21,music,1
8/1/21,portuguese,973
8/1/21,premiere,691
8/1/21,raiitalia,1451
8/1/21,showtime,3594
8/1/21,showtime-preview,28
8/1/21,sports-lite,475
8/1/21,starz,1903
8/1/21,starz-epix-showtime,5564
8/1/21,third-screen,10288
8/1/21,tv5-monde,596
8/1/21,unlimited-screen-home,12772
9/1/21,advanced-dvr,7087
9/1/21,advanced-dvr-1000,6049
9/1/21,advanced-dvr-250,48348
9/1/21,adventure,8038
9/1/21,amc-premiere,2977
9/1/21,cycling,15
9/1/21,deportes,94230
9/1/21,entertainment,1245
9/1/21,entertainment-preview,83
9/1/21,entertainment-v2,705
9/1/21,epix,1106
9/1/21,extra,529
9/1/21,fubo-extra-lite,26791
9/1/21,fubo-extra-lite-preview,105
9/1/21,intl-sports-plus,15446
9/1/21,latino,2093
9/1/21,mundo,129
9/1/21,music,1
9/1/21,portuguese,1062
9/1/21,premiere,813
9/1/21,raiitalia,1520
9/1/21,showtime,3705
9/1/21,showtime-preview,13
9/1/21,sports-lite,1540
9/1/21,starz,2062
9/1/21,starz-epix-showtime,6758
9/1/21,third-screen,10681
9/1/21,tv5-monde,704
9/1/21,unlimited-screen-home,15219
10/1/21,advanced-dvr,6593
10/1/21,advanced-dvr-1000,6547
10/1/21,advanced-dvr-250,46909
10/1/21,adventure,8565
10/1/21,amc-premiere,3141
10/1/21,cycling,15
10/1/21,deportes,118742
10/1/21,entertainment,1309
10/1/21,entertainment-preview,41
10/1/21,entertainment-v2,637
10/1/21,epix,1076
10/1/21,extra,574
10/1/21,fubo-extra-lite,29943
10/1/21,fubo-extra-lite-preview,37
10/1/21,intl-sports-plus,16403
10/1/21,latino,2163
10/1/21,mundo,129
10/1/21,music,1
10/1/21,nbalp,618
10/1/21,portuguese,1086
10/1/21,premiere,848
10/1/21,raiitalia,1475
10/1/21,showtime,3738
10/1/21,showtime-preview,1
10/1/21,sports-lite,4102
10/1/21,starz,2188
10/1/21,starz-epix-showtime,7497
10/1/21,third-screen,10614
10/1/21,tv5-monde,743
10/1/21,unlimited-screen-home,16233
11/1/21,advanced-dvr,6236
11/1/21,advanced-dvr-1000,6329
11/1/21,advanced-dvr-250,44140
11/1/21,adventure,8762
11/1/21,amc-premiere,3073
11/1/21,cycling,15
11/1/21,deportes,121834
11/1/21,entertainment,1231
11/1/21,entertainment-preview,21
11/1/21,entertainment-v2,580
11/1/21,epix,997
11/1/21,extra,526
11/1/21,fubo-extra-lite,30055
11/1/21,fubo-extra-lite-preview,12
11/1/21,intl-sports-plus,16577
11/1/21,latino,2148
11/1/21,mundo,129
11/1/21,music,1
