change_month,new_addition,account_code
2021-06-01,adventure,7429
2021-06-01,amc-premiere,2872
2021-06-01,cycling,40
2021-06-01,deportes,36020
2021-06-01,english,33
2021-06-01,entertainment,1589
2021-06-01,entertainment-preview,325
2021-06-01,entertainment-v2,836
2021-06-01,epix,1440
2021-06-01,extra,420
2021-06-01,fubo-extra-lite,27485
2021-06-01,fubo-extra-lite-preview,949
2021-06-01,intl-sports-plus,16617
2021-06-01,latino,2223
2021-06-01,lifestyle,104
2021-06-01,mundo,312
2021-06-01,music,1
2021-06-01,portuguese,1187
2021-06-01,portuguese_plus,107
2021-06-01,premiere,660
2021-06-01,raiitalia,1700
2021-06-01,rsn-fee,109935
2021-06-01,showtime,4996
2021-06-01,showtime-preview,32
2021-06-01,spanish,309
2021-06-01,starz,2129
2021-06-01,starz-epix-showtime,4454
2021-06-01,third-screen,20471
2021-06-01,tv5-monde,713
2021-06-01,unlimited-screen-home,13026
2021-07-01,,506117
2021-07-01, ,9216
2021-07-01,advanced-dvr,18036
2021-07-01,advanced-dvr-1000,6020
2021-07-01,advanced-dvr-250,61400
2021-07-01,adventure,7591
2021-07-01,amc-premiere,2917
2021-07-01,cycling,42
2021-07-01,deportes,34491
2021-07-01,english,32
2021-07-01,entertainment,1541
2021-07-01,entertainment-preview,308
2021-07-01,entertainment-v2,898
2021-07-01,epix,1325
2021-07-01,extra,446
2021-07-01,fubo-extra-lite,27284
2021-07-01,fubo-extra-lite-preview,882
2021-07-01,intl-sports-plus,17247
2021-07-01,latino,2251
2021-07-01,lifestyle,104
2021-07-01,mundo,305
2021-07-01,music,1
2021-07-01,portuguese,1202
2021-07-01,portuguese_plus,107
2021-07-01,premiere,743
2021-07-01,raiitalia,1736
2021-07-01,rsn-fee,117375
2021-07-01,showtime,4833
2021-07-01,showtime-preview,32
2021-07-01,spanish,280
2021-07-01,sports-lite,74
2021-07-01,starz,2085
2021-07-01,starz-epix-showtime,5149
2021-07-01,third-screen,20665
2021-07-01,tv5-monde,718
2021-07-01,unlimited-screen-home,13892
2021-08-01,,539886
2021-08-01, ,9481
2021-08-01,advanced-dvr,17310
2021-08-01,advanced-dvr-1000,6637
2021-08-01,advanced-dvr-250,56511
2021-08-01,adventure,7704
2021-08-01,amc-premiere,3029
2021-08-01,cycling,41
2021-08-01,deportes,39571
2021-08-01,english,32
2021-08-01,entertainment,1515
2021-08-01,entertainment-preview,306
2021-08-01,entertainment-v2,907
2021-08-01,epix,1260
2021-08-01,extra,470
2021-08-01,fubo-extra-lite,27112
2021-08-01,fubo-extra-lite-preview,848
2021-08-01,intl-sports-plus,15364
2021-08-01,latino,2330
2021-08-01,lifestyle,104
2021-08-01,mundo,293
2021-08-01,music,1
2021-08-01,portuguese,1289
2021-08-01,portuguese_plus,107
2021-08-01,premiere,796
2021-08-01,raiitalia,1751
2021-08-01,rsn-fee,123340
2021-08-01,showtime,4681
2021-08-01,showtime-preview,32
2021-08-01,spanish,274
2021-08-01,sports-lite,503
2021-08-01,starz,2046
2021-08-01,starz-epix-showtime,5811
2021-08-01,third-screen,21038
2021-08-01,tv5-monde,752
2021-08-01,unlimited-screen-home,14576
2021-09-01,,687144
2021-09-01, ,9999
2021-09-01,advanced-dvr,16393
2021-09-01,advanced-dvr-1000,7754
2021-09-01,advanced-dvr-250,54821
2021-09-01,adventure,8445
2021-09-01,amc-premiere,3356
2021-09-01,cycling,52
2021-09-01,deportes,96842
2021-09-01,english,32
2021-09-01,entertainment,1613
2021-09-01,entertainment-preview,184
2021-09-01,entertainment-v2,864
2021-09-01,epix,1237
2021-09-01,extra,603
2021-09-01,fubo-extra-lite,29509
2021-09-01,fubo-extra-lite-preview,162
2021-09-01,intl-sports-plus,16280
2021-09-01,latino,2491
2021-09-01,lifestyle,101
2021-09-01,mundo,298
2021-09-01,music,1
2021-09-01,portuguese,1391
2021-09-01,portuguese_plus,105
2021-09-01,premiere,915
